Autism: Dorea, Coprococcus, Alistipes, Enterococcus, Parabacteroides, Shigella, Roseburia, Blautia, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Lachnospiraceae, Faecalibacterium, Bacteroides fragilis, Phascolarctobacterium, Klebsiella, Ruminococcus, Clostridium, Collinsella, Bacteroides
Otitis Media: Veillonella, Firmicutes, Corynebacterium, Prevotella, Fusobacterium, Streptococcus, Bacteroidetes, Neisseria, Alloprevotella, Lactobacillus, Haemophilus, Porphyromonas, Actinomyces, Megasphaera, Staphylococcus, Gemella, Campylobacter, Staphylococcus epidermidis, Bifidobacterium, Propionibacterium acnes
Hirschsprung-associated enterocolitis: Streptococcus, Bacteroides, Lactobacillus, Prevotella, Blautia, Bifidobacterium, Faecalibacterium, Roseburia, Faecalibacterium prausnitzii, Veillonella, Corynebacterium, Enterobacteriaceae, Ruminococcaceae, Ruminococcus, Staphylococcus, Enterococcus, Acinetobacter, Haemophilus, Coprococcus, Lachnospiraceae
Hutchinson-Gilford progeria syndrome: Staphylococcus epidermidis, Corynebacterium, Propionibacterium acnes, Gardnerella vaginalis, Lactobacillus, Prevotella, Lactobacillus crispatus, Veillonella, Streptococcus, Lactobacillus iners, Haemophilus parainfluenzae, Staphylococcus aureus, Prevotella copri, Lactobacillus gasseri, Veillonella parvula, Neisseria, Fusobacterium, Haemophilus, Bifidobacterium, Haemophilus influenzae
Henoch-Sch?nlein Purpura: Bacteroides, Prevotella, Bifidobacterium, Roseburia, Streptococcus, Ruminococcus, Faecalibacterium prausnitzii, Veillonella, Faecalibacterium, Staphylococcus, Clostridium, Parabacteroides, Enterobacteriaceae, Blautia, Lactobacillus, Ruminococcaceae, Dialister, Haemophilus, Enterococcus, Acinetobacter
Prediabetes: Bacteroides, Prevotella, Streptococcus, Bifidobacterium, Lactobacillus, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Blautia, Veillonella, Corynebacterium, Enterobacteriaceae, Staphylococcus, Ruminococcus, Ruminococcaceae, Enterococcus, Acinetobacter, Haemophilus, Neisseria, Lachnospiraceae
Chlamydia: Veillonella, Fusobacterium, Prevotella, Corynebacterium, Streptococcus, Neisseria, Lactobacillus, Porphyromonas, Bacteroidetes, Haemophilus, Firmicutes, Actinomyces, Megasphaera, Alloprevotella, Campylobacter, Haemophilus parainfluenzae, Leptotrichia, Gemella, Staphylococcus, Bifidobacterium
Enthesitis-related arthritis : Lactobacillus, Prevotella, Streptococcus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Blautia, Faecalibacterium, Staphylococcus, Roseburia, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Enterococcus, Bacteroidetes
Chronic alcoholic pancreatitis: Collinsella, Lachnospira, Akkermansia, Phascolarctobacterium, Parabacteroides, Megamonas, Escherichia, Clostridium, Sutterella, Shigella, Klebsiella, Alistipes, Ruminococcus, Enterococcus, Paraprevotella, Coprococcus, Pseudomonas, Coriobacteriaceae, Dorea, Lachnospiraceae
Alcoholic hepatitis: Parabacteroides, Ruminococcus, Alistipes, Lachnospiraceae, Clostridium, Megasphaera, Klebsiella, Enterococcus, Bacteroidetes, Coprococcus, Roseburia, Phascolarctobacterium, Escherichia, Acinetobacter, Pseudomonas, Akkermansia, Faecalibacterium, Dialister, Dorea, Proteobacteria
Autism spectrum disorders: Escherichia, Collinsella, Akkermansia, Klebsiella, Shigella, Alistipes, Lachnospira, Megamonas, Clostridium, Phascolarctobacterium, Sutterella, Coriobacteriaceae, Parabacteroides, Paraprevotella, Coprococcus, Dorea, Lachnospiraceae, Odoribacter, Proteobacteria, Enterococcus
Idiopathic nephrotic syndrome: Bacteroides, Blautia, Lactobacillus, Faecalibacterium, Faecalibacterium prausnitzii, Streptococcus, Bifidobacterium, Prevotella, Roseburia, Ruminococcus, Corynebacterium, Veillonella, Enterobacteriaceae, Enterococcus, Staphylococcus, Coprococcus, Parabacteroides, Ruminococcaceae, Dorea, Bacteroidetes
Diverticular disease: Bacteroides, Blautia, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Streptococcus, Prevotella, Bifidobacterium, Lactobacillus, Ruminococcus, Corynebacterium, Enterobacteriaceae, Veillonella, Enterococcus, Ruminococcaceae, Staphylococcus, Parabacteroides, Coprococcus, Dorea, Acinetobacter
Neuromyelitis optica: Blautia, Faecalibacterium, Ruminococcus, Roseburia, Bacteroides, Coprococcus, Faecalibacterium prausnitzii, Parabacteroides, Dorea, Enterococcus, Bifidobacterium, Enterobacteriaceae, Ruminococcaceae, Alistipes, Streptococcus, Acinetobacter, Staphylococcus, Lactobacillus, Clostridium, Megasphaera
Azoospermia: Geobacter, Amaricoccus, Geodermatophilaceae, Monascus purpureus, Bacteroides, Prevotella, Streptococcus, Rhodotorula dairenensis, Lactobacillus, Bifidobacterium, Chlorobaculum, Kribbella, Kaistia, Anaeromyxobacter, Aquicella, Idiomarina, Dokdonella, Chitinimonas, Veillonella, Roseburia
Hyperlipidemia: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Staphylococcus, Blautia, Faecalibacterium, Roseburia, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Fusobacterium, Enterococcus
Shiga Toxin-producing E. coli infection: Lactobacillus, Streptococcus, Prevotella, Bacteroides, Corynebacterium, Blautia, Bifidobacterium, Veillonella, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Haemophilus, Bacteroidetes, Neisseria
Gastric carcinoma: Pseudomonas, Bacteroidetes, Megasphaera, Firmicutes, Alloprevotella, Porphyromonas, Fusobacterium, Acinetobacter, Dialister, Lachnospiraceae, Staphylococcus, Rothia, Actinomyces, Ruminococcaceae, Campylobacter, Haemophilus, Actinobacteria, Propionibacterium, Neisseria, Enterobacteriaceae
COPD Exacerbation: Veillonella, Fusobacterium, Prevotella, Neisseria, Porphyromonas, Haemophilus, Corynebacterium, Actinomyces, Streptococcus, Campylobacter, Leptotrichia, Gemella, Rothia, Staphylococcus, Granulicatella, Lactobacillus, Bacteroidetes, Dialister, Atopobium, Pseudomonas
Sickle cell disease: Blautia, Bacteroides, Faecalibacterium, Faecalibacterium prausnitzii, Lactobacillus, Roseburia, Streptococcus, Bifidobacterium, Prevotella, Ruminococcus, Enterobacteriaceae, Enterococcus, Corynebacterium, Veillonella, Ruminococcaceae, Coprococcus, Parabacteroides, Staphylococcus, Dorea, Acinetobacter
Protracted bacterial bronchitis: Veillonella, Prevotella, Bifidobacterium, Streptococcus, Lactobacillus, Bacteroides, Staphylococcus, Corynebacterium, Porphyromonas, Pseudomonas, Haemophilus, Bacteroidetes, Enterobacteriaceae, Roseburia, Faecalibacterium prausnitzii, Ruminococcaceae, Acinetobacter, Fusobacterium, Neisseria, Dialister
Reactive arthritis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Bifidobacterium, Corynebacterium, Veillonella, Faecalibacterium prausnitzii, Blautia, Faecalibacterium, Roseburia, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Haemophilus, Acinetobacter, Enterococcus, Neisseria, Lachnospiraceae
Seminal hyperviscosity: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Bacteroides, Veillonella, Bifidobacterium, Faecalibacterium prausnitzii, Faecalibacterium, Blautia, Staphylococcus, Roseburia, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Neisseria, Ruminococcus, Acinetobacter, Enterococcus, Dialister
Oligoasthenoteratozoospermia: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Staphylococcus, Enterobacteriaceae, Faecalibacterium, Roseburia, Haemophilus, Blautia, Ruminococcaceae, Neisseria, Acinetobacter, Ruminococcus, Fusobacterium, Porphyromonas
Allergic asthma: Bacteroides, Streptococcus, Prevotella, Lactobacillus, Blautia, Bifidobacterium, Faecalibacterium, Faecalibacterium prausnitzii, Corynebacterium, Roseburia, Veillonella, Enterobacteriaceae, Staphylococcus, Ruminococcus, Ruminococcaceae, Enterococcus, Acinetobacter, Haemophilus, Parabacteroides, Neisseria
Budd-Chiari syndrome: Lactobacillus, Bacteroides, Blautia, Streptococcus, Prevotella, Faecalibacterium prausnitzii, Faecalibacterium, Bifidobacterium, Corynebacterium, Roseburia, Veillonella, Enterobacteriaceae, Ruminococcus, Ruminococcaceae, Staphylococcus, Enterococcus, Coprococcus, Parabacteroides, Acinetobacter, Dorea
Atopic wheeze: Streptococcus, Bacteroides, Prevotella, Blautia, Bifidobacterium, Faecalibacterium, Lactobacillus, Corynebacterium, Faecalibacterium prausnitzii, Roseburia, Veillonella, Enterobacteriaceae, Ruminococcaceae, Ruminococcus, Staphylococcus, Enterococcus, Acinetobacter, Haemophilus, Parabacteroides, Lachnospiraceae
Prostate cancer: Rhinovirus, Moraxella nonliquefaciens, Human herpesvirus 6, Varibaculum cambriense, Propionimicrobium lymphophilum, Dolosigranulum pigrum, Globicatella, Aspergillus fumigatus, Moraxella catarrhalis, Peptoanaerobacter, Lactobacillus sakei, Roseolovirus, Corynebacterium striatum, Mycoplasma pneumoniae, Oceanivirga, Myceligenerans, Propionibacterium acnes, HSV-1, Burkholderia fungorum, CMV
Multiple system atrophy: Lactobacillus, Streptococcus, Bacteroides, Prevotella, Veillonella, Corynebacterium, Bifidobacterium, Blautia, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Staphylococcus, Ruminococcaceae, Enterobacteriaceae, Ruminococcus, Bacteroidetes, Lachnospiraceae, Fusobacterium, Acinetobacter, Megasphaera
Autoimmune polyendocrine syndrome type 1: Porphyromonas gingivalis, Streptococcus oralis, Granulicatella adiacens, Rothia mucilaginosa, Comamonas, Prevotella pallens, Porphyromonas endodontalis, Campylobacter rectus, Streptococcus parasanguinis, Haemophilus parainfluenzae, Veillonella dispar, Atopobium parvulum, Veillonella parvula, Prevotella nanceiensis, Neisseria flavescens, Streptococcus gordonii, Prevotella melaninogenica, Campylobacter concisus, Rothia dentocariosa, Treponema socranskii
Attention Deficit Hyperactivity Disorder: Blautia, Faecalibacterium, Roseburia, Bacteroides, Faecalibacterium prausnitzii, Coprococcus, Dorea, Ruminococcus, Enterococcus, Lactobacillus, Parabacteroides, Bifidobacterium, Enterobacteriaceae, Ruminococcus gnavus, Streptococcus, Ruminococcaceae, Prevotella, Alistipes, Corynebacterium, Clostridium
Hepatocellular cancer: Parabacteroides, Coprococcus, Dorea, Ruminococcus, Alistipes, Enterococcus, Phascolarctobacterium, Roseburia, Clostridium, Faecalibacterium, Blautia, Megamonas, Akkermansia, Klebsiella, Shigella, Sutterella, Lachnospiraceae, Collinsella, Enterobacteriaceae, Ruminococcaceae
Oral potentially malignant disorder: Neisseria subflava, Rothia dentocariosa, Granulicatella adiacens, Gemella haemolysans, Campylobacter concisus, Porphyromonas endodontalis, Shuttleworthia satelles, Catonella morbi, Campylobacter rectus, Prevotella pallens, Neisseria flavescens, Streptococcus gordonii, Neisseria oralis, Rothia aeria, Treponema socranskii, Fretibacterium fastidiosum, Porphyromonas pasteri, Tanerella forsythia, Atopobium parvulum, Gemella morbillorum
Viral respiratory tract infection: Moraxella catarrhalis, Staphylococcus epidermidis, Haemophilus influenzae, Propionibacterium acnes, Lactobacillus sakei, Dolosigranulum pigrum, Lactobacillus iners, Corynebacterium propinquum, Rhinovirus, Gardnerella vaginalis, Moraxella nonliquefaciens, Human herpesvirus 6, Shuttleworthia, Corynebacterium pseudodiphtheriticum, Lactobacillus crispatus, Globicatella, Peptoanaerobacter, Varibaculum cambriense, Oceanivirga, Propionimicrobium lymphophilum
Hirschsprung's disease: Prevotella, Streptococcus, Bacteroides, Veillonella, Bifidobacterium, Lactobacillus, Haemophilus, Staphylococcus, Porphyromonas, Dialister, Corynebacterium, Roseburia, Faecalibacterium prausnitzii, Pseudomonas, Neisseria, Enterobacteriaceae, Actinomyces, Ruminococcaceae, Faecalibacterium, Ruminococcus
Oral leukoplakia: Veillonella, Haemophilus parainfluenzae, Corynebacterium, Prevotella, Streptococcus, Lactobacillus, Gardnerella vaginalis, Staphylococcus epidermidis, Fusobacterium, Neisseria, Firmicutes, Veillonella dispar, Rothia mucilaginosa, Bacteroidetes, Streptococcus salivarius, Lactobacillus crispatus, Veillonella parvula, Haemophilus, Propionibacterium acnes, Alloprevotella
Urgency urinary incontinence: Corynebacterium, Veillonella, Prevotella, Streptococcus, Lactobacillus, Staphylococcus epidermidis, Neisseria, Propionibacterium acnes, Haemophilus, Bifidobacterium, Fusobacterium, Staphylococcus, Firmicutes, Bacteroides, Bacteroidetes, Porphyromonas, Enterobacteriaceae, Ruminococcaceae, Gemella, Gardnerella vaginalis
Pelvic inflammatory disease: Streptococcus, Prevotella, Corynebacterium, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Blautia, Faecalibacterium prausnitzii, Enterobacteriaceae, Staphylococcus, Faecalibacterium, Ruminococcaceae, Roseburia, Haemophilus, Neisseria, Acinetobacter, Fusobacterium, Bacteroidetes, Ruminococcus
Neuropathic bladder: Lactobacillus, Corynebacterium, Prevotella, Streptococcus, Burkholderia fungorum, Veillonella, Sporomusa, Lactobacillus sp. L-YJ, Bifidobacterium, Bacteroides, Neisseria, Staphylococcus epidermidis, Faecalibacterium prausnitzii, Haemophilus, Propionibacterium acnes, Staphylococcus, Prevotella copri, Fusobacterium, Blautia, Enterobacteriaceae
Uveitits: Pseudomonas, Dialister, Clostridium, Ruminococcus, Staphylococcus, Roseburia, Acinetobacter, Ruminococcaceae, Porphyromonas, Lachnospiraceae, Parabacteroides, Enterobacteriaceae, Bifidobacterium, Haemophilus, Bacteroides, Actinomyces, Faecalibacterium, Enterococcus, Rothia, Fusobacterium
Granulomatosis with polyangiitis: Lactobacillus iners, Gardnerella vaginalis, Lactobacillus crispatus, Rothia mucilaginosa, Veillonella parvula, Staphylococcus epidermidis, Haemophilus parainfluenzae, Veillonella dispar, Haemophilus influenzae, Streptococcus gordonii, Porphyromonas gingivalis, Comamonas, Lactobacillus gasseri, Propionibacterium acnes, Streptococcus oralis, Granulicatella adiacens, Prevotella pallens, Campylobacter rectus, Lautropia, Streptococcus salivarius
Overactive bladder: Ruminococcus, Enterococcus, Parabacteroides, Roseburia, Clostridium, Coprococcus, Faecalibacterium, Lachnospiraceae, Blautia, Alistipes, Klebsiella, Dorea, Enterobacteriaceae, Faecalibacterium prausnitzii, Acinetobacter, Bacteroides, Ruminococcaceae, Phascolarctobacterium, Akkermansia, Bifidobacterium
Cytolytic vaginosis: Staphylococcus epidermidis, Propionibacterium acnes, Lactobacillus, Corynebacterium, Prevotella, Streptococcus, Lactobacillus crispatus, Veillonella, Gardnerella vaginalis, Prevotella copri, Lactobacillus iners, Staphylococcus aureus, Bifidobacterium, Firmicutes, Neisseria, Haemophilus parainfluenzae, Bacteroides, Veillonella parvula, Haemophilus, Haemophilus influenzae
Maturity-onset diabetes of the young 2: Bacteroides, Prevotella, Streptococcus, Lactobacillus, Faecalibacterium prausnitzii, Bifidobacterium, Faecalibacterium, Roseburia, Blautia, Veillonella, Corynebacterium, Enterobacteriaceae, Staphylococcus, Ruminococcus, Ruminococcaceae, Enterococcus, Acinetobacter, Haemophilus, Parabacteroides, Clostridium
Stomach cancer: Bacteroides, Lactobacillus, Blautia, Streptococcus, Prevotella, Faecalibacterium prausnitzii, Faecalibacterium, Bifidobacterium, Roseburia, Corynebacterium, Veillonella, Ruminococcus, Enterobacteriaceae, Enterococcus, Ruminococcaceae, Staphylococcus, Coprococcus, Parabacteroides, Acinetobacter, Dorea
Small intestine neoplasm: Prevotella, Lactobacillus, Streptococcus, Bacteroides, Veillonella, Corynebacterium, Bifidobacterium, Faecalibacterium prausnitzii, Faecalibacterium, Roseburia, Blautia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Ruminococcus, Neisseria, Acinetobacter, Enterococcus, Bacteroidetes
Arsenic exposure: Bacteroides, Blautia, Faecalibacterium, Lactobacillus, Streptococcus, Prevotella, Bifidobacterium, Faecalibacterium prausnitzii, Roseburia, Corynebacterium, Veillonella, Ruminococcus, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Enterococcus, Acinetobacter, Parabacteroides, Coprococcus, Bacteroidetes
Myasthenia gravis: Lachnospiraceae, Clostridium, Roseburia, Ruminococcus, Parabacteroides, Pseudomonas, Dialister, Bacteroides, Megasphaera, Acinetobacter, Ruminococcaceae, Alistipes, Enterococcus, Enterobacteriaceae, Lactobacillus, Bifidobacterium, Faecalibacterium, Porphyromonas, Bacteroidetes, Klebsiella
Osteoarthritis: Prevotella, Bacteroides, Streptococcus, Veillonella, Lactobacillus, Bifidobacterium, Haemophilus, Dialister, Staphylococcus, Porphyromonas, Roseburia, Pseudomonas, Corynebacterium, Actinomyces, Enterobacteriaceae, Faecalibacterium prausnitzii, Ruminococcus, Neisseria, Faecalibacterium, Ruminococcaceae
Lung cancer: Ruminococcus, Roseburia, Bacteroides, Faecalibacterium, Parabacteroides, Blautia, Clostridium, Enterococcus, Bifidobacterium, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Lactobacillus, Coprococcus, Lachnospiraceae, Streptococcus, Staphylococcus, Alistipes, Prevotella, Acinetobacter
Clonorchis sinensis infection: Blautia, Roseburia, Faecalibacterium, Ruminococcus, Bacteroides, Enterococcus, Faecalibacterium prausnitzii, Bifidobacterium, Enterobacteriaceae, Ruminococcaceae, Coprococcus, Parabacteroides, Streptococcus, Dorea, Staphylococcus, Acinetobacter, Clostridium, Prevotella, Lachnospiraceae, Lactobacillus
Severe fever with thrombocytopenia syndrome: Blautia, Bacteroides, Faecalibacterium, Streptococcus, Lactobacillus, Prevotella, Bifidobacterium, Faecalibacterium prausnitzii, Roseburia, Corynebacterium, Ruminococcus, Enterobacteriaceae, Veillonella, Ruminococcaceae, Staphylococcus, Enterococcus, Acinetobacter, Parabacteroides, Coprococcus, Dorea
Breast cancer: Gallionella, Ophiostomataceae, Methylobacteriaceae, Nocardioidaceae, Methylobacterium radiotolerans, Skermanella, Mycobacterium fortuitum, Brachybacterium muris, Microbacterium barkeri, Hydrogenophaga, Ralstonia pickettii, Bacteroides, Gluconacetobacter, Bifidobacterium, Roseburia, Lactobacillus rossiae, Malassezia, Acinetobacter radioresistens, Ruminococcus, Bacillus alcalophilus
Bronchiectasis: Prevotella, Lactobacillus, Streptococcus, Veillonella, Corynebacterium, Bifidobacterium, Bacteroides, Haemophilus, Staphylococcus, Faecalibacterium prausnitzii, Neisseria, Enterobacteriaceae, Roseburia, Ruminococcaceae, Blautia, Faecalibacterium, Porphyromonas, Fusobacterium, Acinetobacter, Bacteroidetes
Graves' disease: Bacteroides, Faecalibacterium, Roseburia, Blautia, Ruminococcus, Bifidobacterium, Faecalibacterium prausnitzii, Prevotella, Streptococcus, Parabacteroides, Lactobacillus, Enterococcus, Enterobacteriaceae, Clostridium, Veillonella, Ruminococcaceae, Staphylococcus, Coprococcus, Corynebacterium, Lachnospiraceae
Wilson's Disease: Bacteroides, Prevotella, Streptococcus, Lactobacillus, Bifidobacterium, Faecalibacterium prausnitzii, Faecalibacterium, Blautia, Roseburia, Corynebacterium, Veillonella, Enterobacteriaceae, Staphylococcus, Ruminococcus, Ruminococcaceae, Enterococcus, Acinetobacter, Haemophilus, Clostridium, Neisseria
Sensitive scalp: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Blautia, Faecalibacterium, Enterobacteriaceae, Roseburia, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Fusobacterium, Enterococcus
Microscopic colitis: Coprococcus, Dorea, Parabacteroides, Enterococcus, Blautia, Roseburia, Faecalibacterium, Ruminococcus, Alistipes, Faecalibacterium prausnitzii, Bacteroides, Clostridium, Megamonas, Enterobacteriaceae, Ruminococcus gnavus, Shigella, Ruminococcaceae, Anaerostipes, Phascolarctobacterium, Lachnospiraceae
Bronchiolitis: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Haemophilus, Neisseria, Enterobacteriaceae, Blautia, Faecalibacterium, Ruminococcaceae, Roseburia, Acinetobacter, Fusobacterium, Bacteroidetes, Porphyromonas
Intestinal metaplasia: Clostridiales, Blautia, Faecalibacterium, Firmicutes, Clostridium cluster IV, Delftia, Lactobacillus, Bacteroides, Bacteroidetes, Roseburia, Coprobacillus, Ruminococcus, Fusicatenibacter, Faecalibacterium prausnitzii, Sneathia, Alloprevotella, Weissella, Clostridium cluster XIVa, Bifidobacterium, Coprococcus
Keratitis: Bacteroides, Roseburia, Ruminococcus, Bifidobacterium, Faecalibacterium, Streptococcus, Prevotella, Staphylococcus, Enterobacteriaceae, Blautia, Ruminococcaceae, Veillonella, Faecalibacterium prausnitzii, Clostridium, Lactobacillus, Parabacteroides, Enterococcus, Dialister, Acinetobacter, Lachnospiraceae
Late-onset Sepsis: Staphylococcus epidermidis, Lactobacillus crispatus, Gardnerella vaginalis, Propionibacterium acnes, Lactobacillus iners, Corynebacterium, Lactobacillus, Lactobacillus gasseri, Prevotella, Haemophilus parainfluenzae, Staphylococcus aureus, Veillonella, Streptococcus, Veillonella parvula, Prevotella copri, Haemophilus influenzae, Veillonella dispar, Neisseria, Rothia mucilaginosa, Streptococcus salivarius
Hand, foot and mouth disease: Bacteroides, Blautia, Streptococcus, Faecalibacterium, Prevotella, Lactobacillus, Bifidobacterium, Faecalibacterium prausnitzii, Corynebacterium, Roseburia, Veillonella, Enterobacteriaceae, Ruminococcus, Staphylococcus, Ruminococcaceae, Enterococcus, Acinetobacter, Parabacteroides, Coprococcus, Haemophilus
Infant colic: Prevotella, Streptococcus, Corynebacterium, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Staphylococcus, Faecalibacterium prausnitzii, Blautia, Enterobacteriaceae, Faecalibacterium, Haemophilus, Neisseria, Ruminococcaceae, Roseburia, Acinetobacter, Fusobacterium, Bacteroidetes, Ruminococcus
Tetratricopeptide repeat domain 7A deficiency: Bacteroides, Prevotella, Bifidobacterium, Streptococcus, Roseburia, Veillonella, Blautia, Faecalibacterium, Lactobacillus, Faecalibacterium prausnitzii, Enterobacteriaceae, Corynebacterium, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Haemophilus, Clostridium, Parabacteroides
X-linked inhibitor of apoptosis deficiency: Lactobacillus, Streptococcus, Prevotella, Corynebacterium, Veillonella, Bacteroides, Staphylococcus epidermidis, Bifidobacterium, Blautia, Faecalibacterium prausnitzii, Faecalibacterium, Bacteroidetes, Staphylococcus, Enterobacteriaceae, Roseburia, Firmicutes, Ruminococcaceae, Neisseria, Haemophilus, Fusobacterium
Chronic granulomatous disease: Lactobacillus, Prevotella, Streptococcus, Bacteroides, Corynebacterium, Bifidobacterium, Veillonella, Faecalibacterium prausnitzii, Blautia, Faecalibacterium, Roseburia, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Haemophilus, Acinetobacter, Neisseria, Lachnospiraceae
Cardiac valve calcification: Blautia, Bacteroides, Faecalibacterium, Streptococcus, Lactobacillus, Bifidobacterium, Prevotella, Faecalibacterium prausnitzii, Roseburia, Corynebacterium, Enterobacteriaceae, Veillonella, Ruminococcus, Ruminococcaceae, Staphylococcus, Enterococcus, Coprococcus, Acinetobacter, Parabacteroides, Dorea
Adolescent idiopathic scoliosis: Lachnospira, Parabacteroides, Anaerostipes, Desulfovibrio, Sutterella, Megamonas, Alistipes, Phascolarctobacterium, Subdoligranulum, Clostridium, Shigella, Ruminococcus, Enterococcus, Akkermansia, Escherichia coli, Lachnospiraceae, Collinsella, Roseburia, Escherichia, Coprococcus
Aerobic vaginitis: Fusobacterium, Gemella, Neisseria, Porphyromonas, Veillonella, Campylobacter, Propionibacterium, Haemophilus, Corynebacterium, Actinomyces, Staphylococcus, Rothia, Peptoniphilus, Acinetobacter, Alloprevotella, Streptococcus, Actinobacteria, Prevotella, Bifidobacterium, Haemophilus parainfluenzae
Palmoplantar pustulosis: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Blautia, Faecalibacterium, Staphylococcus, Roseburia, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Enterococcus, Fusobacterium
Drug-resistant Epilepsy: Ruminococcus, Blautia, Faecalibacterium, Roseburia, Enterococcus, Parabacteroides, Coprococcus, Bacteroides, Dorea, Faecalibacterium prausnitzii, Clostridium, Bifidobacterium, Ruminococcaceae, Enterobacteriaceae, Alistipes, Lachnospiraceae, Acinetobacter, Staphylococcus, Phascolarctobacterium, Klebsiella
Primary liver cancer: Anaerostipes, Subdoligranulum, Escherichia coli, Megamonas, Sutterella, Shigella, Parabacteroides, Akkermansia, Coprococcus, Phascolarctobacterium, Desulfovibrio, Dorea, Lachnospira, Alistipes, Clostridium, Oscillibacter, Eubacterium rectale, Enterococcus, Bacteroides fragilis, Collinsella
Anovulation: Bacteroides, Ruminococcus, Roseburia, Faecalibacterium, Blautia, Bifidobacterium, Faecalibacterium prausnitzii, Parabacteroides, Enterococcus, Prevotella, Streptococcus, Enterobacteriaceae, Clostridium, Ruminococcaceae, Lactobacillus, Staphylococcus, Lachnospiraceae, Veillonella, Coprococcus, Acinetobacter
Cleft palate: Prevotella, Lactobacillus, Streptococcus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Blautia, Staphylococcus, Faecalibacterium, Enterobacteriaceae, Roseburia, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Fusobacterium, Bacteroidetes, Ruminococcus
Graves' orbitopathy: Ruminococcus gnavus, Blautia, Coprococcus, Dorea, Faecalibacterium, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Faecalibacterium prausnitzii, Bacteroides, Alistipes, Enterobacteriaceae, Bifidobacterium, Ruminococcaceae, Anaerostipes, Clostridium cluster IV, Clostridium, Lachnoclostridium, Megamonas
Obstructive sleep apnea-hypopnea syndrome: Pseudomonas, Dialister, Porphyromonas, Acinetobacter, Staphylococcus, Haemophilus, Ruminococcaceae, Actinomyces, Enterobacteriaceae, Rothia, Lachnospiraceae, Bifidobacterium, Fusobacterium, Roseburia, Clostridium, Ruminococcus, Neisseria, Campylobacter, Veillonella, Enterococcus
Silicosis: Prevotella, Bacteroides, Streptococcus, Bifidobacterium, Roseburia, Veillonella, Lactobacillus, Enterobacteriaceae, Staphylococcus, Faecalibacterium, Faecalibacterium prausnitzii, Ruminococcus, Corynebacterium, Ruminococcaceae, Blautia, Haemophilus, Enterococcus, Clostridium, Dialister, Acinetobacter
Urolithiasis: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Blautia, Enterobacteriaceae, Faecalibacterium, Roseburia, Haemophilus, Ruminococcaceae, Neisseria, Acinetobacter, Fusobacterium, Ruminococcus, Enterococcus
Endometriosis: Firmicutes, Clostridiales, Streptococcus, Corynebacterium, Bacteroidetes, Veillonella, Lactobacillus, Sneathia, Enterobacteriaceae, Prevotella, Bifidobacterium, Ruminococcaceae, Staphylococcus, Alloprevotella, Acinetobacter, Bacteroides, Blautia, Faecalibacterium prausnitzii, Faecalibacterium, Fusobacterium
