Spirochaetes: Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Crohn Disease, Ulcerative Colitis, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Lung Neoplasms, Constipation, Celiac Disease, Laryngeal Neoplasms, Parkinson Disease, Alzheimer Disease, Tongue Neoplasms, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Gemella haemolysans: Diarrhea, Coronary Artery Disease, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Hypertension, Thrombosis, Ovarian Neoplasms, Prostatic Neoplasms, Peripheral Arterial Disease, Gallbladder Neoplasms, Amyotrophic Lateral Sclerosis, Tongue Neoplasms, Urinary Bladder Neoplasms, Acute Lymphoblastic Leukemia, Rectal Neoplasms, Endometrial Neoplasms, Laryngeal Neoplasms, Gastroesophageal Reflux
Lachnoanaerobaculum orale: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Diarrhea, Atherosclerosis, Coronary Artery Disease, Coronary Heart Disease, Hypertension, Vascular Stiffness, Squamous Intraepithelial Lesions, Irritable Bowel Syndrome, Thrombosis, Prostatic Neoplasms, Celiac Disease, Stomach Neoplasms, Inflammatory Bowel Diseases, Ovarian Neoplasms, Mouth Neoplasms, Breast Neoplasms
Prevotella stercorea: Diarrhea, Atherosclerosis, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Hypertension, Thrombosis, Prostatic Neoplasms, Ovarian Neoplasms, Peripheral Arterial Disease, Amyotrophic Lateral Sclerosis, Urinary Bladder Neoplasms, Crohn Disease, Gallbladder Neoplasms, Ulcerative Colitis, Colorectal Neoplasms, Tongue Neoplasms, Laryngeal Neoplasms, Acute Lymphoblastic Leukemia
Sutterella wadsworthensis: Diarrhea, Coronary Artery Disease, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Hypertension, Thrombosis, Ovarian Neoplasms, Prostatic Neoplasms, Peripheral Arterial Disease, Gallbladder Neoplasms, Amyotrophic Lateral Sclerosis, Tongue Neoplasms, Urinary Bladder Neoplasms, Acute Lymphoblastic Leukemia, Rectal Neoplasms, Endometrial Neoplasms, Laryngeal Neoplasms, Gastroesophageal Reflux
Listeriaceae: Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Crohn Disease, Pancreatic Neoplasms, Ulcerative Colitis, Lung Neoplasms, Alzheimer Disease, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Irritable Bowel Syndrome, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Head and Neck Neoplasms, Constipation, Coronary Artery Disease, Hypertension
Brachyspira: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Pharyngeal Neoplasms, Mouth Neoplasms, Diarrhea, Breast Neoplasms, Ovarian Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Urinary Bladder Neoplasms, Stomach Neoplasms, Constipation, Coronary Artery Disease
Cetobacterium: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Irritable Bowel Syndrome, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Liver Neoplasms, Diarrhea, Coronary Artery Disease, Hypertension, Atherosclerosis, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Stomach Neoplasms, Celiac Disease, Urinary Bladder Neoplasms
Cloacibacillus: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Lung Neoplasms, Alzheimer Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Irritable Bowel Syndrome, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Defluviitalea: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Pharyngeal Neoplasms, Mouth Neoplasms, Diarrhea, Breast Neoplasms, Ovarian Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Urinary Bladder Neoplasms, Stomach Neoplasms, Constipation, Coronary Artery Disease
Gemmiger: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Alzheimer Disease, Lung Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Celiac Disease, Mouth Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms
Pseudoxanthomonas: Crohn Disease, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Celiac Disease, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Saprolegnia: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Pharyngeal Neoplasms, Mouth Neoplasms, Diarrhea, Breast Neoplasms, Ovarian Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Urinary Bladder Neoplasms, Stomach Neoplasms, Constipation, Coronary Artery Disease
Synergistes: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Irritable Bowel Syndrome, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Liver Neoplasms, Diarrhea, Coronary Artery Disease, Hypertension, Atherosclerosis, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Stomach Neoplasms, Celiac Disease, Urinary Bladder Neoplasms
Thermicanus: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Diarrhea, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Pharyngeal Neoplasms, Constipation, Tongue Neoplasms, Gallbladder Neoplasms, Head and Neck Neoplasms, Prostatic Neoplasms, Vascular Stiffness, Atherosclerosis, Uterine Cervical Neoplasms, Celiac Disease, Coronary Artery Disease
Centipeda: Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Lung Neoplasms, Uterine Cervical Neoplasms, Alzheimer Disease, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Colorectal Neoplasms, Celiac Disease, Stomach Neoplasms, Ulcerative Colitis, Crohn Disease, Head and Neck Neoplasms, Liver Neoplasms, Constipation, Laryngeal Neoplasms, Irritable Bowel Syndrome, Tongue Neoplasms, Parkinson Disease
Scardovia: Crohn Disease, Ulcerative Colitis, Parkinson Disease, Colorectal Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Urinary Bladder Neoplasms, Celiac Disease, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Lancefieldella parvula: Colorectal Neoplasms, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Crohn Disease, Ulcerative Colitis, Pancreatic Neoplasms, Esophageal Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms
Faecalibacterium cf. prausnitzii KLE1255: Diarrhea, Atherosclerosis, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Hypertension, Coronary Heart Disease, Thrombosis, Prostatic Neoplasms, Urinary Bladder Neoplasms, Crohn Disease, Ulcerative Colitis, Amyotrophic Lateral Sclerosis, Laryngeal Neoplasms, Ovarian Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Peripheral Arterial Disease, Esophageal Neoplasms
Klebsiella aerogenes: Diarrhea, Atherosclerosis, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Hypertension, Coronary Heart Disease, Thrombosis, Prostatic Neoplasms, Amyotrophic Lateral Sclerosis, Urinary Bladder Neoplasms, Ovarian Neoplasms, Peripheral Arterial Disease, Laryngeal Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms
Klebsiella sp.: Diarrhea, Atherosclerosis, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Hypertension, Coronary Heart Disease, Thrombosis, Prostatic Neoplasms, Amyotrophic Lateral Sclerosis, Urinary Bladder Neoplasms, Ovarian Neoplasms, Peripheral Arterial Disease, Laryngeal Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms
Achromobacter sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Ulcerative Colitis
Chitinophagaceae: Colorectal Neoplasms, Parkinson Disease, Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Lung Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Coronary Artery Disease, Diarrhea, Hypertension
Chryseobacterium sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Ulcerative Colitis
Citrobacter sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Ulcerative Colitis
Helicobacter sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Ulcerative Colitis
Neisseria sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Ulcerative Colitis
Nocardiaceae: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Ulcerative Colitis
Novosphingobium sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Ulcerative Colitis
Phyllobacterium sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Ulcerative Colitis
Pseudomonas sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Ulcerative Colitis
Rhodococcus sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Ulcerative Colitis
Planococcaceae: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Irritable Bowel Syndrome, Celiac Disease, Head and Neck Neoplasms, Constipation, Stomach Neoplasms, Liver Neoplasms, Laryngeal Neoplasms, Tongue Neoplasms
Paenibacillaceae: Colorectal Neoplasms, Stomach Neoplasms, Irritable Bowel Syndrome, Celiac Disease, Liver Neoplasms, Alzheimer Disease, Crohn Disease, Lung Neoplasms, Ulcerative Colitis, Esophageal Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Parkinson Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms, Urinary Bladder Neoplasms
Rhizobiales: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Lung Neoplasms, Stomach Neoplasms, Parkinson Disease, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Esophageal Neoplasms, Laryngeal Neoplasms
Schwartzia: Colorectal Neoplasms, Breast Neoplasms, Mouth Neoplasms, Crohn Disease, Ulcerative Colitis, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Lung Neoplasms, Celiac Disease, Alzheimer Disease, Parkinson Disease, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Stomach Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Alistipes indistinctus: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Mouth Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Pharyngeal Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Ovarian Neoplasms, Stomach Neoplasms, Urinary Bladder Neoplasms, Diarrhea, Constipation, Head and Neck Neoplasms
Desulfovibrionales: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Lung Neoplasms, Celiac Disease, Pancreatic Neoplasms, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Esophageal Neoplasms, Constipation, Laryngeal Neoplasms
Roseburia faecis: Ulcerative Colitis, Crohn Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Colorectal Neoplasms, Alzheimer Disease, Celiac Disease, Lung Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms
Actinomyces radicidentis: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Aggregatibacter aphrophilus: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Stomach Neoplasms, Constipation, Pharyngeal Neoplasms, Mouth Neoplasms, Vascular Stiffness
Atopobium minutum: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Lancefieldella rimae: Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Crohn Disease, Ulcerative Colitis, Pancreatic Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Breast Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Celiac Disease, Parkinson Disease, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Coronary Artery Disease
Bifidobacterium scardovii: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Celiac Disease, Lung Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms
Campylobacter curvus: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Campylobacter showae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Capnocytophaga sputigena: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Stomach Neoplasms, Constipation, Pharyngeal Neoplasms, Mouth Neoplasms, Vascular Stiffness
Centipeda periodontii: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Vascular Stiffness
Filifactor alocis: Colorectal Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Breast Neoplasms, Crohn Disease, Pharyngeal Neoplasms, Ulcerative Colitis, Urinary Bladder Neoplasms, Pancreatic Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms, Celiac Disease, Constipation, Tongue Neoplasms, Parkinson Disease, Rectal Neoplasms, Stomach Neoplasms, Lung Neoplasms, Alzheimer Disease, Ovarian Neoplasms
Fretibacterium fastidiosum: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Fusobacterium naviforme: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Fusobacterium necrophorum: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Granulicatella elegans: Colorectal Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Breast Neoplasms, Crohn Disease, Pharyngeal Neoplasms, Ulcerative Colitis, Urinary Bladder Neoplasms, Pancreatic Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms, Celiac Disease, Constipation, Tongue Neoplasms, Parkinson Disease, Rectal Neoplasms, Stomach Neoplasms, Lung Neoplasms, Alzheimer Disease, Ovarian Neoplasms
Lachnoanaerobaculum umeaense: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Lactobacillus johnsonii: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Vascular Stiffness
Listeria monocytogenes: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Mogibacterium timidum: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Vascular Stiffness, Atherosclerosis, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
Olsenella profusa: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Stomach Neoplasms, Constipation, Pharyngeal Neoplasms, Mouth Neoplasms, Vascular Stiffness
Porphyromonas uenonis: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Vascular Stiffness, Atherosclerosis, Squamous Intraepithelial Lesions, Coronary Artery Disease, Prostatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms
