Collinsella aerofaciens: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Obesity, Clostridium difficile infection(CDI), Cystic fibrosis, Ileal Crohn's disease(CD), Psoriasis, Asthma, Periodontal, Systemic inflammatory response syndrome, COPD, Type 1 diabetes, Colorectal carcinoma, Guttate psoriasis, Ulcerative colitis, Atopic dermatitis
Acetonema: Type 1 diabetes, Bacterial Vaginosis, Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Actinobacillus: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Aggregatibacter: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Akkermansia: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Alistipes: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Colorectal carcinoma, Psoriasis, COPD, Inflammatory bowel disease(IBD), Periodontal, Ulcerative colitis, Asthma, Obesity, Rheumatoid arthrits, Infectious colitis, Systemic inflammatory response syndrome
Anaerofilum: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Anaerostipes: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Anaerotruncus: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacillus: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium 08.96.4: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium ASF500: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium B4C2-5: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium Ba2: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium C15: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium G100VIII: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium ic1214: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium ic1258: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium ic1292: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium ic1296: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium ic1311: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium ic1379: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium ic1391: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium MB7-1: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium mpn-isolate group 19: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium mpn-isolate group 22: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium mpn-isolate group 24: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium mpn-isolate group 27: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium mpn-isolate group 5: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium 'New Zealand B': Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium str. 31285: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium YE62: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacterium YE64: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacteroidaceae bacterium Smarlab 3301643: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bovine rumen bacterium JPR13: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Brenneria: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Burkholderiales bacterium Smarlab 3302047: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium ART55/1: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium L1-810: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium L1-952: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium L2-50: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium M104/1: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium M21/2: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium M50/1: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium P607: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium PH05YB02: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium Ph07AY02: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium PH07AY3: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium PH07AY5: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium PH07BY04: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium SL6/1/1: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium SM4/1: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium SR1/1: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium SR1/5: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium SS2/1: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium SSC/2: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Butyrate-producing bacterium T2-132: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Clostridia bacterium TSW07CA7: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Clostridiaceae bacterium bSSV31: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Clostridiaceae bacterium LEMV63: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Clostridiaceae bacterium SH032: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Clostridiaceae bacterium SK061: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
